species_scientific,age_years,dbh_cm,height_m,source_for_growth
Tectona grandis,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,1,5.57,4.52,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,2,10.37,8.53,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,3,14.49,12.09,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,4,18.05,15.25,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,5,21.11,18.05,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,6,23.74,20.53,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,7,26.0,22.73,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,8,27.95,24.68,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,9,29.63,26.42,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,10,31.07,27.95,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,11,32.32,29.31,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,12,33.39,30.52,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,13,34.31,31.59,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,14,35.1,32.55,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,15,35.78,33.39,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,16,36.37,34.14,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,17,36.88,34.8,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,18,37.31,35.39,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,19,37.69,35.91,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,20,38.01,36.37,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,21,38.29,36.78,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,22,38.52,37.15,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,23,38.73,37.47,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,24,38.91,37.75,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,25,39.06,38.01,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,26,39.19,38.23,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,27,39.3,38.43,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,28,39.4,38.61,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,29,39.48,38.77,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Tectona grandis,30,39.56,38.91,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,1,5.91,5.09,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,2,11.0,9.6,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,3,15.37,13.6,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,4,19.14,17.15,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Shorea robusta,5,22.39,20.3,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
