city,lat,lon,species,common_name,age_years,scenario,trees_planted,trees_alive,agb_kg,bgb_kg,carbon_t,co2_t,co2_total_t,co2_cumulative_t
Chennai,13.0827,80.2707,Tectona grandis,Teak,0,0.6,100,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,Tectona grandis,Teak,1,0.6,100,60.0,4.676635,1.122392,0.002726,0.009994,0.009994,0.009994
Chennai,13.0827,80.2707,Tectona grandis,Teak,2,0.6,100,36.0,29.242563,7.018215,0.017043,0.062489,0.062489,0.072483
Chennai,13.0827,80.2707,Tectona grandis,Teak,3,0.6,100,21.6,78.970085,18.95282,0.046024,0.168754,0.168754,0.241237
Chennai,13.0827,80.2707,Tectona grandis,Teak,4,0.6,100,12.96,152.098147,36.503555,0.088643,0.325024,0.325024,0.56626
Chennai,13.0827,80.2707,Tectona grandis,Teak,5,0.6,100,7.78,243.406311,58.417515,0.141857,0.520143,0.520143,1.086404
Chennai,13.0827,80.2707,Tectona grandis,Teak,6,0.6,100,4.67,347.087536,83.301009,0.202283,0.741703,0.741703,1.828106
Chennai,13.0827,80.2707,Tectona grandis,Teak,7,0.6,100,2.8,457.802409,109.872578,0.266807,0.978293,0.978293,2.8064
Chennai,13.0827,80.2707,Tectona grandis,Teak,8,0.6,100,1.68,571.314463,137.115471,0.332962,1.220861,1.220861,4.027261
Chennai,13.0827,80.2707,Tectona grandis,Teak,9,0.6,100,1.01,684.282855,164.227885,0.3988,1.462267,1.462267,5.489527
Chennai,13.0827,80.2707,Tectona grandis,Teak,10,0.6,100,0.6,793.099771,190.343945,0.462219,1.694801,1.694801,7.184329
Chennai,13.0827,80.2707,Tectona grandis,Teak,11,0.6,100,0.36,897.231613,215.335587,0.522907,1.917324,1.917324,9.101653
Chennai,13.0827,80.2707,Tectona grandis,Teak,12,0.6,100,0.22,994.632852,238.711885,0.579672,2.125464,2.125464,11.227117
Chennai,13.0827,80.2707,Tectona grandis,Teak,13,0.6,100,0.13,1084.702711,260.328651,0.632165,2.317937,2.317937,13.545054
Chennai,13.0827,80.2707,Tectona grandis,Teak,14,0.6,100,0.08,1167.611354,280.226725,0.680484,2.495108,2.495108,16.040162
Chennai,13.0827,80.2707,Tectona grandis,Teak,15,0.6,100,0.05,1242.69517,298.246841,0.724243,2.655557,2.655557,18.695719
Chennai,13.0827,80.2707,Tectona grandis,Teak,16,0.6,100,0.03,1311.128221,314.670773,0.764126,2.801794,2.801794,21.497512
Chennai,13.0827,80.2707,Tectona grandis,Teak,17,0.6,100,0.02,1372.670348,329.440883,0.799992,2.933305,2.933305,24.430817
Chennai,13.0827,80.2707,Tectona grandis,Teak,18,0.6,100,0.01,1427.31347,342.555233,0.831838,3.050074,3.050074,27.480891
Chennai,13.0827,80.2707,Tectona grandis,Teak,19,0.6,100,0.01,1476.701462,354.408351,0.860622,3.155613,3.155613,30.636504
Chennai,13.0827,80.2707,Tectona grandis,Teak,20,0.6,100,0.0,1520.040476,364.809714,0.88588,3.248225,3.248225,33.884729
Chennai,13.0827,80.2707,Tectona grandis,Teak,21,0.6,100,0.0,1558.937585,374.14502,0.908549,3.331346,3.331346,37.216075
Chennai,13.0827,80.2707,Tectona grandis,Teak,22,0.6,100,0.0,1592.753145,382.260755,0.928257,3.403607,3.403607,40.619682
Chennai,13.0827,80.2707,Tectona grandis,Teak,23,0.6,100,0.0,1623.278542,389.58685,0.946047,3.468838,3.468838,44.08852
Chennai,13.0827,80.2707,Tectona grandis,Teak,24,0.6,100,0.0,1649.983194,395.995967,0.96161,3.525904,3.525904,47.614424
Chennai,13.0827,80.2707,Tectona grandis,Teak,25,0.6,100,0.0,1673.596274,401.663106,0.975372,3.576364,3.576364,51.190788
Chennai,13.0827,80.2707,Tectona grandis,Teak,26,0.6,100,0.0,1694.001374,406.56033,0.987264,3.619968,3.619968,54.810756
Chennai,13.0827,80.2707,Tectona grandis,Teak,27,0.6,100,0.0,1711.991495,410.877959,0.997749,3.658412,3.658412,58.469167
Chennai,13.0827,80.2707,Tectona grandis,Teak,28,0.6,100,0.0,1728.369845,414.808763,1.007294,3.693411,3.693411,62.162578
Chennai,13.0827,80.2707,Tectona grandis,Teak,29,0.6,100,0.0,1742.244636,418.138713,1.01538,3.723061,3.723061,65.885639
Chennai,13.0827,80.2707,Tectona grandis,Teak,30,0.6,100,0.0,1755.306959,421.27367,1.022993,3.750974,3.750974,69.636613
Chennai,13.0827,80.2707,Tectona grandis,Teak,0,0.8,100,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,Tectona grandis,Teak,1,0.8,100,80.0,4.676635,1.122392,0.002726,0.009994,0.009994,0.009994
Chennai,13.0827,80.2707,Tectona grandis,Teak,2,0.8,100,64.0,29.242563,7.018215,0.017043,0.062489,0.062489,0.072483
Chennai,13.0827,80.2707,Tectona grandis,Teak,3,0.8,100,51.2,78.970085,18.95282,0.046024,0.168754,0.168754,0.241237
Chennai,13.0827,80.2707,Tectona grandis,Teak,4,0.8,100,40.96,152.098147,36.503555,0.088643,0.325024,0.325024,0.56626
Chennai,13.0827,80.2707,Tectona grandis,Teak,5,0.8,100,32.77,243.406311,58.417515,0.141857,0.520143,0.520143,1.086404
Chennai,13.0827,80.2707,Tectona grandis,Teak,6,0.8,100,26.21,347.087536,83.301009,0.202283,0.741703,0.741703,1.828106
Chennai,13.0827,80.2707,Tectona grandis,Teak,7,0.8,100,20.97,457.802409,109.872578,0.266807,0.978293,0.978293,2.8064
Chennai,13.0827,80.2707,Tectona grandis,Teak,8,0.8,100,16.78,571.314463,137.115471,0.332962,1.220861,1.220861,4.027261
Chennai,13.0827,80.2707,Tectona grandis,Teak,9,0.8,100,13.42,684.282855,164.227885,0.3988,1.462267,1.462267,5.489527
Chennai,13.0827,80.2707,Tectona grandis,Teak,10,0.8,100,10.74,793.099771,190.343945,0.462219,1.694801,1.694801,7.184329
Chennai,13.0827,80.2707,Tectona grandis,Teak,11,0.8,100,8.59,897.231613,215.335587,0.522907,1.917324,1.917324,9.101653
Chennai,13.0827,80.2707,Tectona grandis,Teak,12,0.8,100,6.87,994.632852,238.711885,0.579672,2.125464,2.125464,11.227117
Chennai,13.0827,80.2707,Tectona grandis,Teak,13,0.8,100,5.5,1084.702711,260.328651,0.632165,2.317937,2.317937,13.545054
Chennai,13.0827,80.2707,Tectona grandis,Teak,14,0.8,100,4.4,1167.611354,280.226725,0.680484,2.495108,2.495108,16.040162
Chennai,13.0827,80.2707,Tectona grandis,Teak,15,0.8,100,3.52,1242.69517,298.246841,0.724243,2.655557,2.655557,18.695719
Chennai,13.0827,80.2707,Tectona grandis,Teak,16,0.8,100,2.81,1311.128221,314.670773,0.764126,2.801794,2.801794,21.497512
Chennai,13.0827,80.2707,Tectona grandis,Teak,17,0.8,100,2.25,1372.670348,329.440883,0.799992,2.933305,2.933305,24.430817
Chennai,13.0827,80.2707,Tectona grandis,Teak,18,0.8,100,1.8,1427.31347,342.555233,0.831838,3.050074,3.050074,27.480891
Chennai,13.0827,80.2707,Tectona grandis,Teak,19,0.8,100,1.44,1476.701462,354.408351,0.860622,3.155613,3.155613,30.636504
Chennai,13.0827,80.2707,Tectona grandis,Teak,20,0.8,100,1.15,1520.040476,364.809714,0.88588,3.248225,3.248225,33.884729
Chennai,13.0827,80.2707,Tectona grandis,Teak,21,0.8,100,0.92,1558.937585,374.14502,0.908549,3.331346,3.331346,37.216075
Chennai,13.0827,80.2707,Tectona grandis,Teak,22,0.8,100,0.74,1592.753145,382.260755,0.928257,3.403607,3.403607,40.619682
Chennai,13.0827,80.2707,Tectona grandis,Teak,23,0.8,100,0.59,1623.278542,389.58685,0.946047,3.468838,3.468838,44.08852
Chennai,13.0827,80.2707,Tectona grandis,Teak,24,0.8,100,0.47,1649.983194,395.995967,0.96161,3.525904,3.525904,47.614424
Chennai,13.0827,80.2707,Tectona grandis,Teak,25,0.8,100,0.38,1673.596274,401.663106,0.975372,3.576364,3.576364,51.190788
Chennai,13.0827,80.2707,Tectona grandis,Teak,26,0.8,100,0.3,1694.001374,406.56033,0.987264,3.619968,3.619968,54.810756
Chennai,13.0827,80.2707,Tectona grandis,Teak,27,0.8,100,0.24,1711.991495,410.877959,0.997749,3.658412,3.658412,58.469167
Chennai,13.0827,80.2707,Tectona grandis,Teak,28,0.8,100,0.19,1728.369845,414.808763,1.007294,3.693411,3.693411,62.162578
Chennai,13.0827,80.2707,Tectona grandis,Teak,29,0.8,100,0.15,1742.244636,418.138713,1.01538,3.723061,3.723061,65.885639
Chennai,13.0827,80.2707,Tectona grandis,Teak,30,0.8,100,0.12,1755.306959,421.27367,1.022993,3.750974,3.750974,69.636613
Chennai,13.0827,80.2707,Tectona grandis,Teak,0,0.9,100,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,Tectona grandis,Teak,1,0.9,100,90.0,4.676635,1.122392,0.002726,0.009994,0.009994,0.009994
Chennai,13.0827,80.2707,Tectona grandis,Teak,2,0.9,100,81.0,29.242563,7.018215,0.017043,0.062489,0.062489,0.072483
Chennai,13.0827,80.2707,Tectona grandis,Teak,3,0.9,100,72.9,78.970085,18.95282,0.046024,0.168754,0.168754,0.241237
Chennai,13.0827,80.2707,Tectona grandis,Teak,4,0.9,100,65.61,152.098147,36.503555,0.088643,0.325024,0.325024,0.56626
Chennai,13.0827,80.2707,Tectona grandis,Teak,5,0.9,100,59.05,243.406311,58.417515,0.141857,0.520143,0.520143,1.086404
Chennai,13.0827,80.2707,Tectona grandis,Teak,6,0.9,100,53.14,347.087536,83.301009,0.202283,0.741703,0.741703,1.828106
Chennai,13.0827,80.2707,Tectona grandis,Teak,7,0.9,100,47.83,457.802409,109.872578,0.266807,0.978293,0.978293,2.8064
Chennai,13.0827,80.2707,Tectona grandis,Teak,8,0.9,100,43.05,571.314463,137.115471,0.332962,1.220861,1.220861,4.027261
Chennai,13.0827,80.2707,Tectona grandis,Teak,9,0.9,100,38.74,684.282855,164.227885,0.3988,1.462267,1.462267,5.489527
Chennai,13.0827,80.2707,Tectona grandis,Teak,10,0.9,100,34.87,793.099771,190.343945,0.462219,1.694801,1.694801,7.184329
Chennai,13.0827,80.2707,Tectona grandis,Teak,11,0.9,100,31.38,897.231613,215.335587,0.522907,1.917324,1.917324,9.101653
Chennai,13.0827,80.2707,Tectona grandis,Teak,12,0.9,100,28.24,994.632852,238.711885,0.579672,2.125464,2.125464,11.227117
Chennai,13.0827,80.2707,Tectona grandis,Teak,13,0.9,100,25.42,1084.702711,260.328651,0.632165,2.317937,2.317937,13.545054
Chennai,13.0827,80.2707,Tectona grandis,Teak,14,0.9,100,22.88,1167.611354,280.226725,0.680484,2.495108,2.495108,16.040162
Chennai,13.0827,80.2707,Tectona grandis,Teak,15,0.9,100,20.59,1242.69517,298.246841,0.724243,2.655557,2.655557,18.695719
Chennai,13.0827,80.2707,Tectona grandis,Teak,16,0.9,100,18.53,1311.128221,314.670773,0.764126,2.801794,2.801794,21.497512
Chennai,13.0827,80.2707,Tectona grandis,Teak,17,0.9,100,16.68,1372.670348,329.440883,0.799992,2.933305,2.933305,24.430817
Chennai,13.0827,80.2707,Tectona grandis,Teak,18,0.9,100,15.01,1427.31347,342.555233,0.831838,3.050074,3.050074,27.480891
Chennai,13.0827,80.2707,Tectona grandis,Teak,19,0.9,100,13.51,1476.701462,354.408351,0.860622,3.155613,3.155613,30.636504
Chennai,13.0827,80.2707,Tectona grandis,Teak,20,0.9,100,12.16,1520.040476,364.809714,0.88588,3.248225,3.248225,33.884729
Chennai,13.0827,80.2707,Tectona grandis,Teak,21,0.9,100,10.94,1558.937585,374.14502,0.908549,3.331346,3.331346,37.216075
Chennai,13.0827,80.2707,Tectona grandis,Teak,22,0.9,100,9.85,1592.753145,382.260755,0.928257,3.403607,3.403607,40.619682
Chennai,13.0827,80.2707,Tectona grandis,Teak,23,0.9,100,8.86,1623.278542,389.58685,0.946047,3.468838,3.468838,44.08852
Chennai,13.0827,80.2707,Tectona grandis,Teak,24,0.9,100,7.98,1649.983194,395.995967,0.96161,3.525904,3.525904,47.614424
Chennai,13.0827,80.2707,Tectona grandis,Teak,25,0.9,100,7.18,1673.596274,401.663106,0.975372,3.576364,3.576364,51.190788
Chennai,13.0827,80.2707,Tectona grandis,Teak,26,0.9,100,6.46,1694.001374,406.56033,0.987264,3.619968,3.619968,54.810756
Chennai,13.0827,80.2707,Tectona grandis,Teak,27,0.9,100,5.81,1711.991495,410.877959,0.997749,3.658412,3.658412,58.469167
Chennai,13.0827,80.2707,Tectona grandis,Teak,28,0.9,100,5.23,1728.369845,414.808763,1.007294,3.693411,3.693411,62.162578
Chennai,13.0827,80.2707,Tectona grandis,Teak,29,0.9,100,4.71,1742.244636,418.138713,1.01538,3.723061,3.723061,65.885639
Chennai,13.0827,80.2707,Tectona grandis,Teak,30,0.9,100,4.24,1755.306959,421.27367,1.022993,3.750974,3.750974,69.636613
Kolkata,22.5726,88.3639,Shorea robusta,Sal,0,0.6,100,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Kolkata,22.5726,88.3639,Shorea robusta,Sal,1,0.6,100,60.0,9.326646,2.238395,0.005436,0.01993,0.01993,0.01993
Kolkata,22.5726,88.3639,Shorea robusta,Sal,2,0.6,100,36.0,58.253952,13.980949,0.03395,0.124485,0.124485,0.144415
Kolkata,22.5726,88.3639,Shorea robusta,Sal,3,0.6,100,21.6,157.23583,37.736599,0.091637,0.336002,0.336002,0.480418
Kolkata,22.5726,88.3639,Shorea robusta,Sal,4,0.6,100,12.96,302.567719,72.616253,0.176336,0.646567,0.646567,1.126985
Kolkata,22.5726,88.3639,Shorea robusta,Sal,5,0.6,100,7.78,484.453252,116.268781,0.282339,1.035244,1.035244,2.162229
Kolkata,22.5726,88.3639,Shorea robusta,Sal,6,0.6,100,4.67,691.156221,165.877493,0.402806,1.476955,1.476955,3.639184
Kolkata,22.5726,88.3639,Shorea robusta,Sal,7,0.6,100,2.8,911.623143,218.789554,0.531294,1.948078,1.948078,5.587262
Kolkata,22.5726,88.3639,Shorea robusta,Sal,8,0.6,100,1.68,1138.02662,273.126389,0.663242,2.431887,2.431887,8.019149
Kolkata,22.5726,88.3639,Shorea robusta,Sal,9,0.6,100,1.01,1362.517276,327.004146,0.794075,2.911609,2.911609,10.930757
Kolkata,22.5726,88.3639,Shorea robusta,Sal,10,0.6,100,0.6,1579.861176,379.166682,0.920743,3.376058,3.376058,14.306815
Kolkata,22.5726,88.3639,Shorea robusta,Sal,11,0.6,100,0.36,1786.662225,428.798934,1.041267,3.817978,3.817978,18.124793
Kolkata,22.5726,88.3639,Shorea robusta,Sal,12,0.6,100,0.22,1979.999338,475.199841,1.153944,4.231127,4.231127,22.35592
Kolkata,22.5726,88.3639,Shorea robusta,Sal,13,0.6,100,0.13,2159.57022,518.296853,1.258598,4.614858,4.614858,26.970778
Kolkata,22.5726,88.3639,Shorea robusta,Sal,14,0.6,100,0.08,2324.27063,557.824951,1.354585,4.966811,4.966811,31.937589
Kolkata,22.5726,88.3639,Shorea robusta,Sal,15,0.6,100,0.05,2473.908979,593.738155,1.441794,5.286579,5.286579,37.224168
Kolkata,22.5726,88.3639,Shorea robusta,Sal,16,0.6,100,0.03,2610.456659,626.509598,1.521374,5.578372,5.578372,42.802539
Kolkata,22.5726,88.3639,Shorea robusta,Sal,17,0.6,100,0.02,2732.009297,655.682231,1.592215,5.838122,5.838122,48.640661
Kolkata,22.5726,88.3639,Shorea robusta,Sal,18,0.6,100,0.01,2842.465874,682.19181,1.656589,6.07416,6.07416,54.714821
Kolkata,22.5726,88.3639,Shorea robusta,Sal,19,0.6,100,0.01,2939.296666,705.4312,1.713022,6.281081,6.281081,60.995902
Kolkata,22.5726,88.3639,Shorea robusta,Sal,20,0.6,100,0.0,3025.83404,726.20017,1.763456,6.466006,6.466006,67.461908
Kolkata,22.5726,88.3639,Shorea robusta,Sal,21,0.6,100,0.0,3103.625149,744.870036,1.808793,6.63224,6.63224,74.094148
Kolkata,22.5726,88.3639,Shorea robusta,Sal,22,0.6,100,0.0,3171.401226,761.136294,1.848293,6.777073,6.777073,80.871221
